Price,SPY
2020-10-02,312.08880615234375
2020-10-05,317.6230773925781
2020-10-06,313.1077880859375
2020-10-07,318.557861328125
2020-10-08,321.3811340332031
2020-10-09,324.2511901855469
2020-10-12,329.4674987792969
2020-10-13,327.3173828125
2020-10-14,325.26080322265625
2020-10-15,324.85882568359375
2020-10-16,324.6624755859375
2020-10-19,319.7264709472656
2020-10-20,321.00726318359375
2020-10-21,320.3995361328125
2020-10-22,322.15704345703125
2020-10-23,323.2508239746094
2020-10-26,317.27716064453125
2020-10-27,316.18341064453125
2020-10-28,305.3766174316406
2020-10-29,308.48028564453125
2020-10-30,305.264404296875
2020-11-02,308.6858825683594
2020-11-03,314.1360778808594
2020-11-04,321.15679931640625
2020-11-05,327.42022705078125
2020-11-06,327.34539794921875
2020-11-09,331.4588928222656
2020-11-10,330.9726257324219
2020-11-11,333.4313049316406
2020-11-12,330.19671630859375
2020-11-13,334.76806640625
2020-11-16,338.9468688964844
2020-11-17,337.12396240234375
2020-11-18,333.06671142578125
2020-11-19,334.4690246582031
2020-11-20,332.17864990234375
2020-11-23,334.1697692871094
2020-11-24,339.5545349121094
2020-11-25,339.0310363769531
2020-11-27,339.9752197265625
2020-11-30,338.4700927734375
2020-12-01,342.17205810546875
2020-12-02,342.8919372558594
2020-12-03,342.79840087890625
2020-12-04,345.7525939941406
2020-12-07,345.04205322265625
2020-12-08,346.0517578125
2020-12-09,342.94805908203125
2020-12-10,342.8359069824219
2020-12-11,342.4338684082031
2020-12-14,340.9007568359375
2020-12-15,345.5094299316406
2020-12-16,346.0517578125
2020-12-17,347.98681640625
2020-12-18,346.5973205566406
2020-12-21,345.3581237792969
2020-12-22,344.77593994140625
2020-12-23,345.0858459472656
2020-12-24,346.4284362792969
2020-12-28,349.4044189453125
2020-12-29,348.73785400390625
2020-12-30,349.2354736328125
2020-12-31,351.0098571777344
2021-01-04,346.2312316894531
2021-01-05,348.6158752441406
2021-01-06,350.7000427246094
2021-01-07,355.9105224609375
2021-01-08,357.9384765625
2021-01-11,355.5256042480469
2021-01-12,355.6007385253906
2021-01-13,356.5583801269531
2021-01-14,355.3096618652344
2021-01-15,352.71856689453125
2021-01-19,355.4880676269531
2021-01-20,360.4075927734375
2021-01-21,360.736083984375
2021-01-22,359.4593200683594
2021-01-25,360.8769836425781
2021-01-26,360.3136901855469
2021-01-27,351.5074768066406
2021-01-28,354.5304870605469
2021-01-29,347.4328918457031
2021-02-01,353.216064453125
2021-02-02,358.210693359375
2021-02-03,358.492431640625
2021-02-04,362.56689453125
2021-02-05,363.993896484375
2021-02-08,366.6226501464844
2021-02-09,366.3785095214844
2021-02-10,366.2188415527344
2021-02-11,366.81036376953125
2021-02-12,368.622314453125
2021-02-16,368.3031311035156
2021-02-17,368.38763427734375
2021-02-18,366.8197021484375
2021-02-19,366.1719665527344
2021-02-22,363.35552978515625
2021-02-23,363.79669189453125
2021-02-24,367.8055725097656
2021-02-25,358.9429626464844
2021-02-26,357.0934143066406
2021-03-01,365.7495422363281
2021-03-02,362.89544677734375
2021-03-03,358.0886535644531
2021-03-04,353.6573486328125
2021-03-05,360.1634826660156
2021-03-08,358.37030029296875
2021-03-09,363.4869384765625
2021-03-10,365.7495422363281
2021-03-11,369.4579162597656
2021-03-12,369.9555358886719
