Price,MSFT
Ticker,MSFT
Date,
2020-02-20,175.91021728515625
2020-02-21,170.3492431640625
2020-02-24,163.0045623779297
2020-02-25,160.31471252441406
2020-02-26,162.3177490234375
2020-02-27,150.8810577392578
2020-02-28,154.53428649902344
2020-03-02,164.81687927246094
2020-03-03,156.9189453125
2020-03-04,162.6802520751953
2020-03-05,158.59774780273438
2020-03-06,154.1146240234375
2020-03-09,143.66986083984375
2020-03-10,153.49459838867188
2020-03-11,146.541015625
2020-03-12,132.64329528808594
2020-03-13,151.50103759765625
2020-03-16,129.17124938964844
2020-03-17,139.80679321289062
2020-03-18,133.92147827148438
2020-03-19,136.12489318847656
2020-03-20,131.01220703125
2020-03-23,129.7054443359375
2020-03-24,141.49513244628906
2020-03-25,140.140625
2020-03-26,148.90660095214844
2020-03-27,142.79234313964844
2020-03-30,152.83644104003906
2020-03-31,150.4327392578125
2020-04-01,145.0911407470703
2020-04-02,148.0957794189453
2020-04-03,146.73175048828125
2020-04-06,157.6438751220703
2020-04-07,155.9459991455078
2020-04-08,157.51036071777344
2020-04-09,157.51986694335938
2020-04-13,157.87281799316406
2020-04-14,165.68492126464844
2020-04-15,163.9488983154297
2020-04-16,168.87078857421875
2020-04-17,170.35879516601562
2020-04-20,166.982177734375
2020-04-21,160.0762176513672
2020-04-22,165.51321411132812
2020-04-23,163.5100860595703
2020-04-24,166.4956512451172
2020-04-27,166.01873779296875
2020-04-28,161.9744110107422
2020-04-29,169.24276733398438
2020-04-30,170.94064331054688
2020-05-01,166.5147705078125
2020-05-04,170.58773803710938
2020-05-05,172.4191436767578
2020-05-06,174.1170196533203
2020-05-07,175.12806701660156
2020-05-08,176.15826416015625
2020-05-11,178.12318420410156
2020-05-12,174.08837890625
2020-05-13,171.45574951171875
2020-05-14,172.19973754882812
2020-05-15,174.70838928222656
2020-05-18,176.37762451171875
2020-05-19,175.1566925048828
2020-05-20,177.58627319335938
2020-05-21,175.4532012939453
2020-05-22,175.52975463867188
2020-05-26,173.6741180419922
2020-05-27,173.90367126464844
2020-05-28,173.51150512695312
2020-05-29,175.28106689453125
2020-06-01,174.8793487548828
2020-06-02,176.86886596679688
2020-06-03,177.29928588867188
2020-06-04,174.96536254882812
2020-06-05,179.05929565429688
2020-06-08,180.1688232421875
2020-06-09,181.5461883544922
2020-06-10,188.28004455566406
2020-06-11,178.16970825195312
2020-06-12,179.5757598876953
2020-06-15,180.72360229492188
2020-06-16,185.15228271484375
2020-06-17,185.7931365966797
2020-06-18,187.78268432617188
